"cell_line","reported_sex","XIST_expression_level","XIST_expression","XIST_log_expression","SRY_expression_level","SRY_expression","SRY_log_expression","RPS4Y1_expression_level","RPS4Y1_expression","RPS4Y1_log_expression","ZFY_expression_level","ZFY_expression","ZFY_log_expression","TGIF2LY_expression_level","TGIF2LY_expression","TGIF2LY_log_expression","PCDH11Y_expression_level","PCDH11Y_expression","PCDH11Y_log_expression","TBL1Y_expression_level","TBL1Y_expression","TBL1Y_log_expression","USP9Y_expression_level","USP9Y_expression","USP9Y_log_expression","DDX3Y_expression_level","DDX3Y_expression","DDX3Y_log_expression","UTY_expression_level","UTY_expression","UTY_log_expression","TMSB4Y_expression_level","TMSB4Y_expression","TMSB4Y_log_expression","NLGN4Y_expression_level","NLGN4Y_expression","NLGN4Y_log_expression","KDM5D_expression_level","KDM5D_expression","KDM5D_log_expression","EIF1AY_expression_level","EIF1AY_expression","EIF1AY_log_expression","RPS4Y2_expression_level","RPS4Y2_expression","RPS4Y2_log_expression"
"X22RV1_PROSTATE",NA,"low_expression",23,3.13549421592915,"low_expression",0,NA,"high_expression",36161,10.495736468991,"high_expression",3521,8.16650031915505,"low_expression",0,NA,"intermediate_expression",132,4.88280192258637,"high_expression",128,4.85203026391962,"high_expression",7924,8.97765140781844,"high_expression",17478,9.76869822618749,"high_expression",2413,7.78862606562503,"high_expression",430,6.06378520868761,"intermediate_expression",1309,7.1770187659099,"high_expression",9959,9.20623194393164,"high_expression",4971,8.51137630609467,"low_expression",0,NA
"X2313287_STOMACH",NA,"low_expression",23,3.13549421592915,"low_expression",0,NA,"high_expression",19405,9.87328604380301,"high_expression",1688,7.4312996751559,"low_expression",0,NA,"low_expression",9,2.19722457733622,"low_expression",0,NA,"high_expression",6460,8.77338459677665,"high_expression",10794,9.28674570317859,"high_expression",2007,7.60439634879634,"low_expression",2,0.693147180559945,"low_expression",3,1.09861228866811,"high_expression",7327,8.89932143415996,"high_expression",2984,8.00101996132365,"low_expression",0,NA
"X253JBV_URINARY_TRACT",NA,"low_expression",55,4.00733318523247,"low_expression",0,NA,"low_expression",53,3.97029191355212,"low_expression",1,0,"low_expression",0,NA,"low_expression",1,0,"low_expression",2,0.693147180559945,"low_expression",6,1.79175946922805,"low_expression",10,2.30258509299405,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",6,1.79175946922805,"low_expression",0,NA
"X253J_URINARY_TRACT",NA,"low_expression",67,4.20469261939097,"low_expression",0,NA,"low_expression",45,3.80666248977032,"low_expression",4,1.38629436111989,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",6,1.79175946922805,"low_expression",13,2.56494935746154,"low_expression",2,0.693147180559945,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",8,2.07944154167984,"low_expression",7,1.94591014905531,"low_expression",0,NA
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"low_expression",64,4.15888308335967,"low_expression",0,NA,"low_expression",40,3.68887945411394,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",3,1.09861228866811,"low_expression",20,2.99573227355399,"low_expression",0,NA,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",10,2.30258509299405,"low_expression",1,0,"low_expression",0,NA
"X5637_URINARY_TRACT",NA,"low_expression",15,2.70805020110221,"low_expression",0,NA,"high_expression",16073,9.68489612456914,"high_expression",932,6.83733281468559,"low_expression",0,NA,"low_expression",0,NA,"low_expression",3,1.09861228866811,"high_expression",2446,7.80220931624712,"high_expression",2424,7.7931743471892,"high_expression",981,6.88857245956536,"high_expression",1615,7.38709023565676,"intermediate_expression",667,6.50279004591562,"high_expression",1787,7.48829351515943,"high_expression",2225,7.70751219460034,"low_expression",0,NA
"X59M_OVARY",NA,"low_expression",13605,9.51819265121735,"low_expression",0,NA,"low_expression",47,3.85014760171006,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",0,NA,"low_expression",0,NA,"low_expression",9,2.19722457733622,"low_expression",20,2.99573227355399,"low_expression",4,1.38629436111989,"low_expression",1,0,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",3,1.09861228866811,"low_expression",0,NA
"X639V_URINARY_TRACT",NA,"low_expression",78,4.35670882668959,"low_expression",0,NA,"low_expression",46,3.8286413964891,"low_expression",8,2.07944154167984,"low_expression",0,NA,"low_expression",5,1.6094379124341,"low_expression",0,NA,"low_expression",1,0,"low_expression",25,3.2188758248682,"low_expression",1,0,"low_expression",0,NA,"low_expression",2,0.693147180559945,"low_expression",3,1.09861228866811,"low_expression",5,1.6094379124341,"low_expression",0,NA
"X647V_URINARY_TRACT",NA,"low_expression",57,4.04305126783455,"high_expression",83,4.4188406077966,"high_expression",65265,11.0862111838229,"high_expression",2528,7.83518375526675,"high_expression",108,4.68213122712422,"low_expression",0,NA,"low_expression",0,NA,"high_expression",5347,8.58429093494873,"high_expression",8263,9.01954299670119,"high_expression",3192,8.0684029585697,"high_expression",1938,7.56941179245071,"intermediate_expression",869,6.76734312526539,"high_expression",4648,8.44419229853175,"intermediate_expression",127,4.84418708645859,"intermediate_expression",19,2.94443897916644
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"low_expression",48,3.87120101090789,"low_expression",0,NA,"high_expression",68166,11.129701185798,"high_expression",3004,8.00770001288403,"low_expression",0,NA,"low_expression",0,NA,"high_expression",149,5.00394630594546,"high_expression",3326,8.10952565975287,"high_expression",8105,9.00023643416978,"high_expression",3205,8.07246736935477,"high_expression",507,6.22851100359118,"high_expression",2016,7.60887062919126,"high_expression",12353,9.42165422753681,"high_expression",5836,8.67180090964268,"high_expression",50,3.91202300542815
