"CCLE_ID","reported_sex","predicted_sex","pathology","scc_inclusive","scc_conservative","XIST_Expression_Level","Y_Expression_Level","Y_Expression_Status","RPS4Y1_Expression_Level","ZFY_Expression_Level","USP9Y_Expression_Level","DDX3Y_Expression_Level","UTY_Expression_Level","KDM5D_Expression_Level","EIF1AY_Expression_Level"
"22RV1_PROSTATE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"2313287_STOMACH","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"253J_URINARY_TRACT","unknown",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"253JBV_URINARY_TRACT","unknown",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"42MGBA_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"5637_URINARY_TRACT","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","intermediate","intermediate","intermediate","expressed"
"59M_OVARY","female",NA,"metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"639V_URINARY_TRACT","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"647V_URINARY_TRACT","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","intermediate","intermediate"
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"769P_KIDNEY","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"786O_KIDNEY","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"8305C_THYROID","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"8505C_THYROID","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"8MGBA_CENTRAL_NERVOUS_SYSTEM","female",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A101D_SKIN","male",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A1207_CENTRAL_NERVOUS_SYSTEM","female",NA,NA,"X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A172_CENTRAL_NERVOUS_SYSTEM","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"A204_SOFT_TISSUE","female",NA,"primary","XXY","XX","expressed","intermediate","mixed","intermediate","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A2058_SKIN","male",NA,"metastasis","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","expressed","expressed"
"A253_SALIVARY_GLAND","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A2780_OVARY","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A375_SKIN","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A427_LUNG","unknown","male",NA,"XY","X0","not_expressed","intermediate","mixed","expressed","not_expressed","not_expressed","intermediate","not_expressed","intermediate","intermediate"
"A498_KIDNEY","male",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A549_LUNG","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","intermediate","expressed","intermediate","intermediate","expressed"
"A673_BONE","female",NA,"primary","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"A704_KIDNEY","male",NA,"primary","XY","XY","not_expressed","expressed","mixed","expressed","intermediate","expressed","expressed","intermediate","expressed","expressed"
"ABC1_LUNG","male",NA,"primary","X0","X0","not_expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
"ACCMESO1_PLEURA","unknown","female","metastasis","XX","XX","expressed","not_expressed","same","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed","not_expressed"
