DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907053,Male,30,blood,Y+,X,Male_XY,0.721106493,0.429215991,-11.93374592,NA,NA
ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,30,blood,Y+,X,Male_XY,0.76996206,0.47789589,-11.88665733,NA,NA
ACH-000007,LS513_LARGE_INTESTINE,907795,Male,63,colorectal,Y+,X,Male_XY,0.531759924,0.552887735,-7.635677876,NA,NA
ACH-000009,C2BBE1_LARGE_INTESTINE,910700,Male,72,colorectal,Y-,X,Male_X0,0.048598467,0.6572261,4.123414983,NA,NA
ACH-000011,253J_URINARY_TRACT,NA,Male,53,urinary_tract,Y-,XX,Male_XX,0.003768857,0.811779551,4.144126194,NA,NA
ACH-000012,HCC827_LUNG,1240146,Female,39,lung,Y-,XX,Female_XXhet,0.016552288,1.095051814,4.066216028,0.276813835,NA
ACH-000013,ONCODG1_OVARY,NA,Female,60,ovary,Y-,X,Female_X0,0.003340925,0.757781738,4.128745823,NA,NA
ACH-000014,HS294T_SKIN,NA,Male,56,skin,Y-,XX,Male_XX,0.163867177,1.012780691,3.799744841,NA,NA
ACH-000015,NCIH1581_LUNG,908471,Male,44,lung,NA,X,NA,0.208516387,0.648345086,-3.527153751,NA,NA
ACH-000592,TM31_CENTRAL_NERVOUS_SYSTEM,NA,Female,42,central_nervous_system,Y-,X,Female_X0,0.010377433,0.762663846,3.940178278,0.018152666,NA
ACH-000018,T24_URINARY_TRACT,724812,Female,81,urinary_tract,Y-,XXhom,Female_XXhom,0.009187085,1.138411699,4.304897948,0,NA
ACH-000202,COLO320_LARGE_INTESTINE,NA,Female,55,colorectal,Y-,X,Female_X0,2.02E-09,0.703779483,3.908749943,0.007272519,NA
ACH-000017,SKBR3_BREAST,NA,Female,43,breast,Y-,X,Female_X0,2.17E-05,0.776949425,3.917734286,0,NA
ACH-000022,PATU8988S_PANCREAS,NA,Female,64,pancreas,Y-,NA,NA,1.71E-05,0.807582976,3.027841974,0.402679952,NA
ACH-000024,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909249,Female,56,plasma_cell,Y-,XXhom,Female_XXhom,0.013702987,0.901682312,4.139330164,0,NA
ACH-000025,CH157MN_CENTRAL_NERVOUS_SYSTEM,NA,Female,NA,central_nervous_system,Y-,X,Female_X0,6.67E-08,0.623385223,4.346460612,NA,NA
ACH-000019,MCF7_BREAST,905946,Female,69,breast,Y-,X,Female_X0,0.001101075,0.781377619,4.227642379,0,NA
ACH-000029,HCC827GR5_LUNG,NA,Female,39,lung,Y-,XX,Female_XXhet,0.001084558,1.140941075,4.553227283,NA,NA
ACH-000030,PC14_LUNG,753608,Male,NA,lung,Y-,XX,Male_XX,0.00970074,0.862333542,4.354807894,NA,NA
ACH-000035,NCIH1650_LUNG,687800,Male,27,lung,Y-,X,Male_X0,0.012066067,0.654185568,4.258724658,NA,NA
ACH-000037,S117_THYROID,NA,Female,47,soft_tissue,Y-,XX,Female_XXhet,9.86E-07,0.928500766,3.975537209,0.41373189,NA
ACH-000039,SKNMC_BONE,NA,Female,14,bone,Y-,XX,Female_XXhet,0.004100896,0.892028606,3.738575842,0.435091336,NA
ACH-000040,U118MG_CENTRAL_NERVOUS_SYSTEM,687588,Male,NA,central_nervous_system,NA,X,NA,0.193774023,0.531306889,-7.493534247,NA,NA
ACH-000041,RDES_BONE,NA,Male,19,bone,Y+,X,Male_XY,0.650674953,0.726505034,-11.54395573,NA,NA
ACH-000042,PANC0203_PANCREAS,1298475,Female,70,pancreas,Y-,XX,Female_XXhet,0.00108341,0.923662141,3.974776388,0.377999198,NA
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908156,Male,10,blood,Y+,X,Male_XY,0.585343935,0.574517102,-7.936218037,NA,NA
ACH-000047,GCIY_STOMACH,906869,Female,NA,gastric,Y-,XXhom,Female_XXhom,0.006113566,0.891374794,NA,0,NA
ACH-000021,NCIH1693_LUNG,687802,Female,55,lung,Y-,X,Female_X0,0.004215516,0.608212332,4.152388496,0,NA
ACH-000052,A673_BONE,684052,Female,15,bone,Y-,NA,NA,0.002356326,0.736655955,4.169738018,0.415965184,NA
ACH-000053,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907273,Male,25,lymphocyte,Y+,X,Male_XY,0.635873187,0.593937132,-7.373676406,NA,NA
ACH-000054,HT1080_SOFT_TISSUE,907064,Male,35,soft_tissue,Y+,X,Male_XY,0.562625205,0.574821684,-9.419092299,NA,NA
ACH-000055,D283MED_CENTRAL_NERVOUS_SYSTEM,906834,Male,6,central_nervous_system,Y+,X,Male_XY,0.637597405,0.583830784,-10.23907831,NA,NA
ACH-000060,PANC1005_PANCREAS,925348,Male,56,pancreas,Y-,X,Male_X0,0.010204281,0.673706642,4.289267962,NA,NA
ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,1240150,Male,76,central_nervous_system,Y+,X,Male_XY,0.633110864,0.594630272,-9.451003553,NA,NA
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906800,Male,12,blood,Y+,X,Male_XY,0.60590844,0.560858671,-9.639383425,NA,NA
ACH-000074,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907311,Male,38,blood,Y+,X,Male_XY,0.853691377,0.531069264,-12.31838678,NA,NA
ACH-000028,KPL1_BREAST,NA,Female,50,breast,Y-,X,Female_X0,3.19E-07,0.670867562,3.834953751,0,NA
ACH-000077,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,50,lymphocyte,Y+,X,Male_XY,0.597211043,0.576614015,-10.52707124,NA,NA
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,908135,Male,4,peripheral_nervous_system,Y+,X,Male_XY,0.519398611,0.534673298,-10.80850048,NA,NA
ACH-000048,TOV112D_OVARY,1299070,Female,42,ovary,Y-,X,Female_X0,0.000845361,0.746626554,4.173242611,0,NA
ACH-000085,T3M4_PANCREAS,NA,Male,64,pancreas,Y-,X,Male_X0,0.006676212,0.464381854,4.188655377,NA,NA
ACH-000086,ACCMESO1_PLEURA,NA,Female,61,lung,Y-,XX,Female_XXhet,0.000305401,0.998290632,4.309073583,0.247781023,NA
ACH-000087,SKES1_BONE,684072,Male,18,bone,Y+,X,Male_XY,0.402822881,0.604388461,-9.240398347,NA,NA
ACH-000092,NCIH2452_PLEURA,908462,Male,NA,lung,Y+,X,Male_XY,0.656376925,0.622853764,-9.06667567,NA,NA
ACH-000093,PANC0504_PANCREAS,NA,Female,77,pancreas,Y-,XX,Female_XXhet,3.35E-05,1.00861734,3.900109812,0.41590792,NA
